epoch,train_loss,val_top1,val_top3,val_auc,val_median_rank
1,1.064553,0.464286,0.500000,0.794264,4.0
2,0.989703,0.464286,0.464286,0.793787,6.5
3,0.968051,0.428571,0.500000,0.791838,3.5
4,0.970727,0.428571,0.464286,0.795776,6.0
5,0.950335,0.428571,0.464286,0.798727,4.0
6,0.941474,0.428571,0.500000,0.803626,3.5
7,0.930029,0.428571,0.464286,0.813620,4.5
8,0.904035,0.392857,0.500000,0.812221,3.5
9,0.891281,0.464286,0.500000,0.821724,3.5
10,0.879828,0.464286,0.535714,0.820571,2.5
11,0.868380,0.428571,0.500000,0.823945,3.0
12,0.866344,0.428571,0.571429,0.828098,2.0
13,0.860268,0.428571,0.535714,0.828590,2.5
14,0.849391,0.464286,0.535714,0.830844,2.0
15,0.843273,0.500000,0.607143,0.832726,2.0
16,0.835114,0.500000,0.607143,0.840825,2.0
17,0.835260,0.571429,0.642857,0.845431,1.0
18,0.834105,0.500000,0.642857,0.846427,1.5
19,0.830312,0.500000,0.642857,0.845672,1.5
20,0.818621,0.535714,0.678571,0.849875,1.0
21,0.831956,0.571429,0.642857,0.853337,1.0
22,0.816458,0.571429,0.678571,0.856881,1.0
23,0.812913,0.535714,0.642857,0.853485,1.0
24,0.822494,0.535714,0.678571,0.856209,1.0
25,0.813770,0.535714,0.642857,0.855219,1.0
