epoch,train_loss,val_dice,val_iou
1,0.889151,0.497771,0.360197
2,0.867821,0.490197,0.355313
3,0.861398,0.553318,0.414700
4,0.856647,0.601164,0.463618
5,0.851406,0.584830,0.451620
6,0.846732,0.641482,0.509938
7,0.843772,0.640376,0.509878
8,0.840534,0.589207,0.453015
9,0.840068,0.630613,0.494599
10,0.836550,0.513648,0.392537
11,0.830401,0.633939,0.506086
12,0.828050,0.622727,0.489328
13,0.827106,0.614501,0.483574
14,0.825180,0.648329,0.524581
15,0.824524,0.636576,0.506148
16,0.822150,0.624185,0.491026
17,0.821435,0.654781,0.528630
18,0.522153,0.363728,0.269263
19,0.448188,0.428365,0.316552
20,0.434269,0.424738,0.309314
21,0.459788,0.372483,0.268222
22,0.464194,0.446762,0.326761
23,0.501167,0.414677,0.302364
24,0.499455,0.418682,0.304617
25,0.566967,0.472312,0.339048
26,0.633001,0.433360,0.311582
27,0.626267,0.454394,0.325416
28,0.609694,0.494091,0.360878
29,0.573981,0.476144,0.345951
30,0.479041,0.454110,0.325274
