epoch,train_loss,val_dice,val_iou
1,0.729945,0.849896,0.748954
2,0.708653,0.851259,0.749878
3,0.705976,0.842999,0.735053
4,0.705220,0.855942,0.755487
5,0.703910,0.846146,0.739276
6,0.701859,0.864214,0.766544
7,0.698063,0.873241,0.793829
8,0.695754,0.907550,0.836308
9,0.691640,0.914032,0.848071
10,0.688224,0.907798,0.838421
11,0.684970,0.880569,0.797873
12,0.682220,0.872433,0.781838
13,0.681476,0.881505,0.795387
14,0.679349,0.906722,0.832871
15,0.677869,0.858555,0.759154
16,0.677389,0.894925,0.815489
17,0.675069,0.893551,0.812384
18,0.675315,0.864796,0.766473
19,0.674938,0.885307,0.799317
20,0.674420,0.873385,0.778272
21,0.674243,0.898530,0.818820
22,0.673498,0.889768,0.805339
23,0.673002,0.893181,0.810947
24,0.672064,0.885594,0.798363
25,0.672318,0.860845,0.759481
26,0.671259,0.870133,0.773523
27,0.671174,0.888023,0.801222
28,0.669735,0.862848,0.762169
29,0.671076,0.872101,0.776289
30,0.670022,0.864665,0.765392
