epoch,train_loss,val_dice,val_iou
1,0.890104,0.485004,0.349068
2,0.871994,0.513338,0.376828
3,0.865420,0.542970,0.407694
4,0.862205,0.497864,0.368137
5,0.857993,0.574759,0.441613
6,0.854613,0.606620,0.471024
7,0.849903,0.617645,0.481910
8,0.847300,0.609731,0.471466
9,0.844553,0.596033,0.458667
10,0.842251,0.559838,0.424116
11,0.841137,0.584055,0.445376
12,0.834756,0.606766,0.469525
13,0.833331,0.612361,0.477544
14,0.830991,0.607786,0.475326
15,0.829488,0.590404,0.462291
16,0.825199,0.589722,0.456597
17,0.823883,0.575492,0.443350
18,0.823830,0.615861,0.483622
19,0.822334,0.601335,0.469764
20,0.815231,0.596445,0.463509
21,0.537769,0.586929,0.455343
22,0.531154,0.596517,0.460642
23,0.518403,0.577820,0.443336
24,0.493803,0.565313,0.435218
25,0.456215,0.544788,0.418291
26,0.431211,0.547622,0.416979
27,0.419107,0.533897,0.406267
28,0.423928,0.554029,0.424567
29,0.427970,0.550990,0.419422
30,0.428215,0.559345,0.426481
